Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.3690E+03 .1216E+01 .7244E+00 .2659E+00 .9519E+00
.3695E+03 .1294E+01 .7729E+00 .2822E+00 .1014E+01
.3700E+03 .1377E+01 .8248E+00 .2997E+00 .1081E+01
.3705E+03 .1067E+01 .6406E+00 .2316E+00 .8383E+00
.3710E+03 .1138E+01 .6850E+00 .2464E+00 .8951E+00
.3715E+03 .1422E+01 .8578E+00 .3069E+00 .1119E+01
.3720E+03 .9428E+00 .5699E+00 .2028E+00 .7425E+00
.3725E+03 .1129E+01 .6838E+00 .2421E+00 .8897E+00
.3730E+03 .1146E+01 .6960E+00 .2452E+00 .9043E+00
.3735E+03 .7441E+00 .4531E+00 .1589E+00 .5880E+00
.3740E+03 .1080E+01 .6589E+00 .2298E+00 .8539E+00
.3745E+03 .8925E+00 .5460E+00 .1895E+00 .7066E+00
.3750E+03 .8666E+00 .5312E+00 .1834E+00 .6865E+00
.3755E+03 .1293E+01 .7939E+00 .2727E+00 .1025E+01
.3760E+03 .1071E+01 .6587E+00 .2251E+00 .8490E+00
.3765E+03 .1109E+01 .6834E+00 .2323E+00 .8795E+00
.3770E+03 .1172E+01 .7240E+00 .2450E+00 .9307E+00
.3775E+03 .1369E+01 .8478E+00 .2854E+00 .1088E+01
.3780E+03 .1483E+01 .9201E+00 .3082E+00 .1180E+01
.3785E+03 .1401E+01 .8708E+00 .2902E+00 .1115E+01
.3790E+03 .1156E+01 .7196E+00 .2386E+00 .9201E+00
.3795E+03 .1056E+01 .6582E+00 .2171E+00 .8405E+00
.3800E+03 .1097E+01 .6850E+00 .2248E+00 .8736E+00
.3805E+03 .1326E+01 .8301E+00 .2711E+00 .1057E+01
.3810E+03 .1326E+01 .8321E+00 .2705E+00 .1059E+01
.3815E+03 .1049E+01 .6597E+00 .2135E+00 .8383E+00
.3820E+03 .9294E+00 .5860E+00 .1887E+00 .7437E+00
.3825E+03 .7904E+00 .4996E+00 .1602E+00 .6333E+00
.3830E+03 .7305E+00 .4627E+00 .1477E+00 .5858E+00
.3835E+03 .7025E+00 .4458E+00 .1416E+00 .5638E+00
