Wvlgth,Direct_normal_irradiance
679.0,1.113
680.0,1.123
681.0,1.116
682.0,1.116
683.0,1.114
684.0,1.11
685.0,1.119
686.0,1.114
687.0,0.9234
688.0,0.9902
689.0,0.9914
690.0,1.011
691.0,1.033
692.0,1.048
693.0,1.048
694.0,1.048
695.0,1.067
696.0,1.072
697.0,1.098
698.0,1.083
699.0,1.082
700.0,1.069
701.0,1.065
702.0,1.065
703.0,1.067
704.0,1.088
705.0,1.091
706.0,1.085
707.0,1.085
708.0,1.087
709.0,1.082
710.0,1.086
711.0,1.082
712.0,1.076
713.0,1.069
714.0,1.073
715.0,1.048
716.0,1.053
717.0,0.9982
718.0,0.9494
719.0,0.8892
720.0,0.9295
721.0,0.9643
722.0,1.033
723.0,1.0
724.0,0.9451
725.0,0.9419
726.0,0.9687
727.0,0.9701
728.0,0.9417
729.0,0.9429
730.0,0.987
731.0,0.9588
732.0,0.9914
733.0,1.016
734.0,1.032
735.0,1.015
736.0,1.013
737.0,1.019
738.0,1.017
739.0,0.9984
740.0,1.018
741.0,1.004
742.0,1.002
743.0,1.027
744.0,1.022
745.0,1.021
746.0,1.026
747.0,1.028
748.0,1.027
749.0,1.015
750.0,1.015
751.0,1.005
752.0,1.01
753.0,1.015
754.0,1.018
755.0,1.013
756.0,1.012
757.0,1.014
758.0,1.003
759.0,0.9921
760.0,0.4205
761.0,0.308
762.0,0.7136
763.0,0.5156
764.0,0.6264
765.0,0.7149
766.0,0.7718
767.0,0.878
768.0,0.9427
769.0,0.9474
770.0,0.9631
771.0,0.9638
772.0,0.9638
773.0,0.9703
774.0,0.9654
775.0,0.958
776.0,0.9698
777.0,0.9573
778.0,0.9519
779.0,0.953
780.0,0.9478
781.0,0.9491
782.0,0.9552
783.0,0.9388
784.0,0.9434
785.0,0.9377
786.0,0.9491
787.0,0.9411
788.0,0.934
789.0,0.9364
790.0,0.925
791.0,0.9208
792.0,0.9128
793.0,0.8998
794.0,0.901
795.0,0.9201
796.0,0.9101
797.0,0.9115
798.0,0.9219
799.0,0.9199
800.0,0.9088
801.0,0.9095
802.0,0.9067
803.0,0.9021
804.0,0.9018
805.0,0.8943
806.0,0.9119
807.0,0.9031
808.0,0.9029
809.0,0.8922
810.0,0.8912
811.0,0.8981
812.0,0.8862
813.0,0.8782
814.0,0.823
815.0,0.8195
816.0,0.7826
817.0,0.7878
818.0,0.7688
819.0,0.8106
820.0,0.783
821.0,0.8498
822.0,0.8379
823.0,0.6866
824.0,0.8335
825.0,0.8426
826.0,0.8309
827.0,0.8541
828.0,0.7837
829.0,0.8226
830.0,0.8181
831.0,0.818
832.0,0.8057
833.0,0.8204
834.0,0.8088
835.0,0.8521
836.0,0.8372
837.0,0.8535
838.0,0.8357
839.0,0.8396
840.0,0.8558
841.0,0.848
842.0,0.8441
843.0,0.8378
844.0,0.83
845.0,0.8533
846.0,0.849
847.0,0.8314
848.0,0.8292
849.0,0.8059
850.0,0.7719
851.0,0.8203
852.0,0.8136
853.0,0.781
854.0,0.6765
855.0,0.7406
856.0,0.8109
857.0,0.8273
858.0,0.8222
859.0,0.8221
860.0,0.823
861.0,0.819
862.0,0.8317
863.0,0.8516
864.0,0.8091
865.0,0.8021
866.0,0.7214
867.0,0.753
868.0,0.8195
869.0,0.8027
870.0,0.8257
871.0,0.8147
872.0,0.8119
873.0,0.8105
874.0,0.801
875.0,0.7851
876.0,0.7937
877.0,0.8017
878.0,0.8112
879.0,0.7987
880.0,0.7818
881.0,0.7716
882.0,0.7889
883.0,0.7905
884.0,0.7874
885.0,0.7935
886.0,0.7611
887.0,0.7659
888.0,0.7805
889.0,0.7845
890.0,0.7834
891.0,0.7799
892.0,0.7634
893.0,0.7495
894.0,0.7388
895.0,0.72
896.0,0.7015
897.0,0.6432
898.0,0.6749
899.0,0.57
900.0,0.6711
901.0,0.5867
902.0,0.631
903.0,0.6501
904.0,0.7391
905.0,0.7244
906.0,0.69
907.0,0.6196
908.0,0.6237
909.0,0.6447
910.0,0.618
911.0,0.6306
912.0,0.6465
913.0,0.6279
914.0,0.6177
915.0,0.6508
916.0,0.5833
917.0,0.6678
918.0,0.5952
919.0,0.6742
920.0,0.6671
921.0,0.6772
922.0,0.6402
923.0,0.655
924.0,0.6521
925.0,0.644
926.0,0.6455
927.0,0.6918
928.0,0.6001
929.0,0.5686
930.0,0.5121
931.0,0.4722
932.0,0.3932
933.0,0.3579
934.0,0.2792
935.0,0.3478
936.0,0.2659
937.0,0.2851
938.0,0.3244
939.0,0.4656
940.0,0.5193
941.0,0.4426
942.0,0.4767
943.0,0.3708
944.0,0.3599
945.0,0.4502
946.0,0.2981
947.0,0.4607
948.0,0.367
949.0,0.5617
950.0,0.271
951.0,0.5446
952.0,0.377
953.0,0.4289
954.0,0.4671
955.0,0.4323
956.0,0.406
957.0,0.3788
958.0,0.4853
959.0,0.4456
960.0,0.483
961.0,0.5043
962.0,0.4895
963.0,0.5271
964.0,0.497
965.0,0.5168
966.0,0.5252
967.0,0.5293
968.0,0.602
969.0,0.6241
970.0,0.5958
971.0,0.6371
972.0,0.6197
973.0,0.5816
974.0,0.5609
975.0,0.5678
976.0,0.5596
977.0,0.5928
978.0,0.5794
979.0,0.5931
980.0,0.5712
981.0,0.6303
982.0,0.6158
983.0,0.6003
984.0,0.6341
985.0,0.6121
986.0,0.6376
987.0,0.6323
988.0,0.632
989.0,0.6307
990.0,0.6267
991.0,0.6337
992.0,0.6365
993.0,0.6303
994.0,0.6356
995.0,0.6337
996.0,0.6325
997.0,0.6327
998.0,0.6303
999.0,0.6278
1000.0,0.6256
1001.0,0.6312
1002.0,0.6224
1003.0,0.6208
1004.0,0.6079
1005.0,0.5827
1006.0,0.6072
1007.0,0.6192
1008.0,0.6177
1009.0,0.6161
1010.0,0.6146
1011.0,0.6163
1012.0,0.6128
1013.0,0.6145
1014.0,0.6103
1015.0,0.6067
1016.0,0.6042
1017.0,0.6062
1018.0,0.603
1019.0,0.5934
1020.0,0.6005
1021.0,0.5992
1022.0,0.5958
1023.0,0.6025
1024.0,0.5983
1025.0,0.6011
1026.0,0.5995
1027.0,0.5981
1028.0,0.5973
1029.0,0.5906
1030.0,0.5935
1031.0,0.5917
1032.0,0.5897
1033.0,0.581
1034.0,0.581
1035.0,0.5829
1036.0,0.5864
1037.0,0.5766
1038.0,0.5795
1039.0,0.5795
1040.0,0.5773
1041.0,0.5799
1042.0,0.5761
1043.0,0.5745
1044.0,0.5768
1045.0,0.5692
1046.0,0.5632
1047.0,0.5686
1048.0,0.5721
1049.0,0.5701
1050.0,0.5678
