Wvlgth,Global_horizn_irradiance
634.0,0.2789
635.0,0.2843
636.0,0.2807
637.0,0.2856
638.0,0.2886
639.0,0.2867
640.0,0.285
641.0,0.2858
642.0,0.2852
643.0,0.2899
644.0,0.2894
645.0,0.291
646.0,0.2866
647.0,0.2868
648.0,0.2897
649.0,0.2839
650.0,0.2821
651.0,0.2938
652.0,0.288
653.0,0.291
654.0,0.2875
655.0,0.2794
656.0,0.2464
657.0,0.253
658.0,0.2821
659.0,0.2817
660.0,0.2789
661.0,0.2724
662.0,0.2656
663.0,0.2644
664.0,0.2749
665.0,0.2798
666.0,0.2838
667.0,0.2865
668.0,0.2882
669.0,0.2938
670.0,0.2932
671.0,0.2937
672.0,0.2917
673.0,0.2966
674.0,0.2961
675.0,0.2938
676.0,0.2961
677.0,0.2934
678.0,0.2944
679.0,0.2899
680.0,0.2927
681.0,0.2913
682.0,0.2914
683.0,0.2913
684.0,0.2903
685.0,0.2931
686.0,0.2916
687.0,0.159
688.0,0.2009
689.0,0.2024
690.0,0.2183
691.0,0.2375
692.0,0.2555
693.0,0.2647
694.0,0.2716
695.0,0.2811
696.0,0.2831
697.0,0.2915
698.0,0.2877
699.0,0.2872
700.0,0.2841
701.0,0.2832
702.0,0.2836
703.0,0.2846
704.0,0.2905
705.0,0.2924
706.0,0.2907
707.0,0.291
708.0,0.2919
709.0,0.2906
710.0,0.2918
711.0,0.2909
712.0,0.2896
713.0,0.2878
714.0,0.2891
715.0,0.2827
716.0,0.2846
717.0,0.2678
718.0,0.2615
719.0,0.2453
720.0,0.2545
721.0,0.2625
722.0,0.2799
723.0,0.2732
724.0,0.2592
725.0,0.26
726.0,0.2623
727.0,0.2669
728.0,0.2552
729.0,0.2562
730.0,0.2685
731.0,0.2606
732.0,0.2703
733.0,0.2776
734.0,0.2823
735.0,0.2777
736.0,0.2773
737.0,0.279
738.0,0.2791
739.0,0.2746
740.0,0.2798
741.0,0.2758
742.0,0.2753
743.0,0.282
744.0,0.2806
745.0,0.2801
746.0,0.2815
747.0,0.282
748.0,0.2815
749.0,0.2784
750.0,0.2784
751.0,0.2758
752.0,0.2772
753.0,0.2788
754.0,0.2797
755.0,0.2782
756.0,0.2782
757.0,0.2787
758.0,0.2752
759.0,0.2676
760.0,0.0229
761.0,0.01148
762.0,0.09892
763.0,0.03815
764.0,0.06565
765.0,0.09863
766.0,0.1358
767.0,0.1897
768.0,0.2361
769.0,0.2451
770.0,0.2583
771.0,0.2626
772.0,0.2638
773.0,0.2658
774.0,0.2646
775.0,0.2626
776.0,0.2658
777.0,0.2623
778.0,0.2607
779.0,0.2609
780.0,0.2595
781.0,0.2598
782.0,0.2616
783.0,0.2572
784.0,0.2586
785.0,0.2572
786.0,0.2605
787.0,0.2581
788.0,0.2561
789.0,0.2575
790.0,0.2534
791.0,0.2531
792.0,0.251
793.0,0.2474
794.0,0.2475
795.0,0.2527
796.0,0.2495
797.0,0.2498
798.0,0.2532
799.0,0.2526
800.0,0.2497
801.0,0.2493
802.0,0.2485
803.0,0.2471
804.0,0.247
805.0,0.245
806.0,0.2501
807.0,0.2476
808.0,0.2473
809.0,0.244
810.0,0.2441
811.0,0.2451
812.0,0.2413
813.0,0.2388
814.0,0.2225
815.0,0.2215
816.0,0.2183
817.0,0.2172
818.0,0.2114
819.0,0.2203
820.0,0.2141
821.0,0.2312
822.0,0.2296
823.0,0.1847
824.0,0.2288
825.0,0.2311
826.0,0.2259
827.0,0.2343
828.0,0.2158
829.0,0.2264
830.0,0.2263
831.0,0.2256
832.0,0.2232
833.0,0.2237
834.0,0.22
835.0,0.2326
836.0,0.228
837.0,0.233
838.0,0.2279
839.0,0.2292
840.0,0.2336
841.0,0.2313
842.0,0.2303
843.0,0.2287
844.0,0.2266
845.0,0.2328
846.0,0.2316
847.0,0.2267
848.0,0.2259
849.0,0.2195
850.0,0.2101
851.0,0.223
852.0,0.2212
853.0,0.2122
854.0,0.1838
855.0,0.2012
856.0,0.2203
857.0,0.2248
858.0,0.2234
859.0,0.2234
860.0,0.2237
861.0,0.2226
862.0,0.2261
863.0,0.2315
864.0,0.2201
865.0,0.2182
866.0,0.1962
867.0,0.2048
868.0,0.223
869.0,0.2184
870.0,0.2247
871.0,0.2217
872.0,0.2209
