Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.4850E+03 .1902E+01 .1211E+01 .4079E+00 .1443E+01
.4860E+03 .1660E+01 .1059E+01 .3553E+00 .1261E+01
.4870E+03 .1737E+01 .1110E+01 .3710E+00 .1320E+01
.4880E+03 .1905E+01 .1219E+01 .4057E+00 .1448E+01
.4890E+03 .1913E+01 .1225E+01 .4058E+00 .1453E+01
.4900E+03 .2009E+01 .1289E+01 .4254E+00 .1528E+01
.4910E+03 .1971E+01 .1267E+01 .4168E+00 .1501E+01
.4920E+03 .1861E+01 .1198E+01 .3924E+00 .1417E+01
.4930E+03 .1921E+01 .1239E+01 .4040E+00 .1463E+01
.4940E+03 .1939E+01 .1252E+01 .4067E+00 .1478E+01
.4950E+03 .1955E+01 .1264E+01 .4089E+00 .1490E+01
.4960E+03 .1966E+01 .1273E+01 .4101E+00 .1499E+01
.4970E+03 .1996E+01 .1294E+01 .4153E+00 .1522E+01
.4980E+03 .1902E+01 .1235E+01 .3948E+00 .1451E+01
.4990E+03 .1928E+01 .1252E+01 .3988E+00 .1470E+01
.5000E+03 .1873E+01 .1218E+01 .3870E+00 .1429E+01
.5010E+03 .1841E+01 .1198E+01 .3787E+00 .1403E+01
.5020E+03 .1821E+01 .1184E+01 .3725E+00 .1386E+01
.5030E+03 .1901E+01 .1237E+01 .3870E+00 .1445E+01
.5040E+03 .1874E+01 .1215E+01 .3777E+00 .1417E+01
.5050E+03 .1923E+01 .1252E+01 .3883E+00 .1459E+01
.5060E+03 .1986E+01 .1295E+01 .3999E+00 .1508E+01
.5070E+03 .1889E+01 .1234E+01 .3797E+00 .1435E+01
.5080E+03 .1824E+01 .1195E+01 .3665E+00 .1389E+01
.5090E+03 .1870E+01 .1228E+01 .3754E+00 .1426E+01
.5100E+03 .1857E+01 .1222E+01 .3721E+00 .1417E+01
.5110E+03 .1902E+01 .1254E+01 .3806E+00 .1453E+01
.5120E+03 .1921E+01 .1268E+01 .3836E+00 .1469E+01
.5130E+03 .1817E+01 .1202E+01 .3624E+00 .1391E+01
.5140E+03 .1802E+01 .1194E+01 .3589E+00 .1381E+01
.5150E+03 .1784E+01 .1184E+01 .3544E+00 .1367E+01
.5160E+03 .1780E+01 .1183E+01 .3528E+00 .1364E+01
.5170E+03 .1580E+01 .1052E+01 .3126E+00 .1212E+01
.5180E+03 .1662E+01 .1107E+01 .3278E+00 .1275E+01
.5190E+03 .1743E+01 .1162E+01 .3429E+00 .1337E+01
.5200E+03 .1807E+01 .1206E+01 .3545E+00 .1386E+01
.5210E+03 .1825E+01 .1219E+01 .3569E+00 .1400E+01
.5220E+03 .1828E+01 .1222E+01 .3563E+00 .1401E+01
.5230E+03 .1796E+01 .1202E+01 .3491E+00 .1377E+01
.5240E+03 .1863E+01 .1247E+01 .3609E+00 .1428E+01
.5250E+03 .1889E+01 .1265E+01 .3643E+00 .1446E+01
.5260E+03 .1805E+01 .1210E+01 .3470E+00 .1382E+01
.5270E+03 .1705E+01 .1142E+01 .3262E+00 .1303E+01
.5280E+03 .1805E+01 .1210E+01 .3441E+00 .1379E+01
.5290E+03 .1905E+01 .1277E+01 .3615E+00 .1454E+01
.5300E+03 .1879E+01 .1260E+01 .3553E+00 .1433E+01
.5310E+03 .1908E+01 .1281E+01 .3596E+00 .1455E+01
.5320E+03 .1843E+01 .1238E+01 .3463E+00 .1406E+01
.5330E+03 .1789E+01 .1203E+01 .3351E+00 .1364E+01
.5340E+03 .1840E+01 .1240E+01 .3438E+00 .1404E+01
